tg_id,tg_name,score,current answer,current game,current score
655274882,Сергей Чистяков,3,,0,0
597413358,hdwin,3,Андорра;1,9,2
478849031,Andrey,61,Нигерия;3,9,1
1862087576,Илья Лебедев,20,Оман;3,9,2
1740367239,Никита,1,Таиланд;4,0,0
